epoch,loss,lr,my_mIoU,sparse_categorical_accuracy,val_loss,val_my_mIoU,val_sparse_categorical_accuracy
0,0.64769446849823,0.001,0.40680286288261414,0.7917115092277527,0.6347674131393433,0.3982391655445099,0.7743268609046936
1,0.27934256196022034,0.001,0.62122642993927,0.9078593254089355,0.5841599702835083,0.4827348589897156,0.7958691716194153
2,0.2210899442434311,0.001,0.7106934189796448,0.925166130065918,0.4503670036792755,0.5534670352935791,0.8432577252388
3,0.19608046114444733,0.001,0.7395479083061218,0.9326909184455872,0.502071738243103,0.5684430003166199,0.8340009450912476
4,0.1781616359949112,0.001,0.761075496673584,0.9386228919029236,0.42059633135795593,0.5857512354850769,0.8578933477401733
5,0.16511395573616028,0.001,0.7763903737068176,0.9427967071533203,0.4649609923362732,0.5884913802146912,0.8496733903884888
6,0.15329819917678833,0.001,0.7919018268585205,0.9468883275985718,0.46013692021369934,0.593956470489502,0.8530557751655579
7,0.14801695942878723,0.001,0.7914032340049744,0.9484930634498596,0.5125749707221985,0.5943838953971863,0.8470120429992676
8,0.14186260104179382,0.001,0.7985236644744873,0.9505997896194458,0.4129003882408142,0.6113909482955933,0.8682320713996887
9,0.13293692469596863,0.001,0.8110296726226807,0.9537340402603149,0.45096197724342346,0.6052681803703308,0.8601764440536499
10,0.12722276151180267,0.001,0.8139992952346802,0.9556394219398499,0.42409560084342957,0.6110440492630005,0.8673064708709717
11,0.12120029330253601,0.001,0.8228397965431213,0.9577277302742004,0.45624181628227234,0.605359673500061,0.8624140620231628
12,0.11726927012205124,0.001,0.8252019882202148,0.959064781665802,0.45777127146720886,0.6106762886047363,0.8662956357002258
13,0.1032441183924675,0.000100000005,0.8425185680389404,0.9644843339920044,0.42905890941619873,0.6196520328521729,0.8715908527374268
14,0.09902435541152954,0.000100000005,0.8452390432357788,0.9660219550132751,0.44302883744239807,0.6164489388465881,0.8691784739494324
15,0.09719537198543549,0.000100000005,0.8468198776245117,0.9666714072227478,0.4456818401813507,0.6165027618408203,0.8695024847984314
16,0.0960446149110794,0.000100000005,0.8507430553436279,0.9670713543891907,0.45849689841270447,0.615026593208313,0.86732017993927
17,0.09395179152488708,1.0000001e-05,0.8527353405952454,0.967929482460022,0.4597529172897339,0.6141657829284668,0.8673686385154724
18,0.09366653859615326,1.0000001e-05,0.8538005948066711,0.9680401086807251,0.45756444334983826,0.6140300035476685,0.8677722215652466
